id_ticket,login,sujet,description,priorité,date_creation,heure,status,date_fermeture
1,user123,Demande d'assistance,Problème avec l'imprimante,haute,2023-12-15,09:30,en cours de traitement,None
2,user456,Problème de connexion,Impossible de se connecter au réseau,moyenne,2023-12-14,11:45,fermé,2023-12-14
3,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,haute,2023-12-13,14:20,en cours de traitement,None
4,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2023-12-12,10:00,en cours de traitement,None
5,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,moyenne,2023-12-11,16:55,fermé,2023-12-11
6,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2023-12-10,13:10,en cours de traitement,None
7,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2023-12-09,08:45,en cours de traitement,None
8,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2023-12-08,09:20,en cours de traitement,None
9,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2023-12-07,14:35,en cours de traitement,None
10,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2023-12-06,12:00,fermé,2023-12-06
11,user123,Demande d'assistance,Problème avec l'imprimante,faible,2022-11-15,10:30,en cours de traitement,None
12,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2022-11-14,15:15,en cours de traitement,None
13,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2022-11-13,12:40,en cours de traitement,None
14,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2022-11-12,09:10,en cours de traitement,None
15,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2022-11-11,14:55,en cours de traitement,None
16,user123,Demande de matériel,Nouveau bureau requis pour le département,faible,2022-10-30,11:20,en cours de traitement,None
17,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2022-10-29,08:05,en cours de traitement,None
18,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2022-10-28,09:50,en cours de traitement,None
19,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,faible,2022-10-27,15:15,en cours de traitement,None
20,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,moyenne,2022-10-26,12:40,en cours de traitement,None
21,user123,Demande d'assistance,Problème avec l'imprimante,haute,2022-10-25,10:05,en cours de traitement,None
22,user456,Problème de connexion,Impossible de se connecter au réseau,faible,2022-10-24,15:50,en cours de traitement,None
23,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2022-10-23,12:15,en cours de traitement,None
24,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2022-10-22,09:45,en cours de traitement,None
25,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,moyenne,2022-10-21,15:30,en cours de traitement,None
26,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2022-10-20,12:55,en cours de traitement,None
27,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2022-10-19,09:30,en cours de traitement,None
28,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2022-10-18,10:15,en cours de traitement,None
29,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2022-10-17,15:40,en cours de traitement,None
30,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2022-10-16,13:05,en cours de traitement,None
31,user123,Demande d'assistance,Problème avec l'imprimante,faible,2021-10-15,11:30,en cours de traitement,None
32,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2021-10-14,16:15,en cours de traitement,None
33,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2021-10-13,13:40,en cours de traitement,None
34,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2021-10-12,10:10,en cours de traitement,None
35,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2021-10-11,15:55,en cours de traitement,None
36,user123,Demande de matériel,Nouveau bureau requis pour le département,faible,2021-10-10,12:20,en cours de traitement,None
37,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2021-10-09,08:55,en cours de traitement,None
38,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2021-10-08,09:40,en cours de traitement,None
39,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,faible,2021-10-07,15:05,en cours de traitement,None
40,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2021-10-06,12:30,en cours de traitement,None
41,user123,Demande d'assistance,Problème avec l'imprimante,faible,2021-10-05,10:55,en cours de traitement,None
42,user456,Problème de connexion,Impossible de se connecter au réseau,haute,2021-10-04,15:40,en cours de traitement,None
43,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,moyenne,2021-10-03,13:05,en cours de traitement,None
44,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2021-10-02,10:30,en cours de traitement,None
45,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,haute,2021-10-01,16:15,en cours de traitement,None
46,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2021-09-30,12:40,en cours de traitement,None
47,user789,Problème avec le système,Écrans figés après la mise à jour,moyenne,2021-09-29,09:15,en cours de traitement,None
