id_ticket,login,sujet,description,priorité,date,heure,status
1,user123,Demande d'assistance,Problème avec l'imprimante,haute,2023-12-15,09:30,en cours de traitement
2,user456,Problème de connexion,Impossible de se connecter au réseau,moyenne,2023-12-14,11:45,fermé
3,user789,Besoin d'aide pour un logiciel,Erreur inconnue lors de l'utilisation,haute,2023-12-13,14:20,en cours de traitement
4,user789,Demande de formation,Formation sur le nouveau logiciel requis,faible,2023-12-12,10:00,en cours de traitement
5,user456,Problème de messagerie,Emails non reçus dans la boîte de réception,moyenne,2023-12-11,16:55,fermé
6,user123,Demande de matériel,Nouveau bureau requis pour le département,haute,2023-12-10,13:10,en cours de traitement
7,user789,Problème avec le système,Écrans figés après la mise à jour,haute,2023-12-09,08:45,en cours de traitement
8,user456,Besoin d'assistance téléphonique,Configuration du téléphone professionnel,faible,2023-12-08,09:20,en cours de traitement
9,user123,Problème d'accès aux fichiers,Impossible d'ouvrir certains documents,haute,2023-12-07,14:35,en cours de traitement
10,user789,Demande de dépannage,Dysfonctionnement du système de ventilation,haute,2023-12-06,12:00,fermé
11,user123,Demande de modification de compte,Changement de droits d'accès requis,faible,2023-12-05,10:25,en cours de traitement
12,user456,Besoin d'aide pour un logiciel,Interface peu intuitive,faible,2023-12-04,16:10,en cours de traitement
13,user789,Demande de réinitialisation du mot de passe,Mot de passe oublié,faible,2023-12-03,11:55,fermé
14,user123,Problème de connexion à distance,Accès au réseau depuis l'extérieur impossible,moyenne,2023-12-02,08:30,en cours de traitement
15,user456,Demande de matériel informatique,Ordinateur portable requis,haute,2023-12-01,15:15,en cours de traitement
16,user789,Problème d'impression,Impression de documents trop lente,moyenne,2023-11-30,13:40,fermé
17,user123,Besoin d'assistance pour un projet,Support pour logiciel de gestion de projet,haute,2023-11-29,09:05,en cours de traitement
18,user456,Demande d'information sur un logiciel spécifique,Renseignements sur la dernière version du logiciel,moyenne,2023-11-28,11:50,en cours de traitement
19,user789,Problème avec l'application mobile,L'application se ferme inopinément,moyenne,2023-11-27,14:25,fermé
20,user123,Demande de sauvegarde des données,Sauvegarde régulière des fichiers requis,faible,2023-11-26,10:00,en cours de traitement
21,user456,Problème de réseau wifi,Lenteur de la connexion wifi,haute,2023-11-25,16:45,fermé
22,user789,Demande d'installation de logiciel,Installation d'un logiciel spécifique sur les postes,faible,2023-11-24,13:20,en cours de traitement
23,user123,Besoin de matériel de bureau,Commande de fournitures de bureau,faible,2023-11-23,08:55,en cours de traitement
24,user456,Demande d'assistance pour une présentation,Support pour logiciel de présentation,haute,2023-11-22,11:30,fermé
25,user789,Problème d'utilisation du logiciel comptable,Erreurs dans les calculs du logiciel,moyenne,2023-11-21,14:05,en cours de traitement
26,user123,Demande de réparation d'équipement,Machine à café hors service,faible,2023-11-20,09:40,en cours de traitement
27,user456,Problème avec le système téléphonique,Perturbations dans les appels sortants,haute,2023-11-19,16:15,fermé
28,user789,Demande d'assistance pour un événement,Support technique pour conférence à venir,haute,2023-11-18,12:50,en cours de traitement
29,user123,Besoin de formation sur un logiciel spécifique,Formation sur logiciel de gestion de stock,faible,2023-11-17,08:25,en cours de traitement
30,user456,Demande de déblocage de compte,Compte utilisateur verrouillé,haute,2023-11-16,11:00,fermé
31,user789,Problème d'accès aux serveurs,Inaccessibilité aux serveurs de données,moyenne,2023-11-15,14:35,en cours de traitement
32,user123,Demande de configuration d'emails professionnels,Configuration de boîtes mails supplémentaires,faible,2023-11-14,09:10,en cours de traitement
33,user456,Problème avec le logiciel de comptabilité,Erreur dans les soldes,haute,2023-11-13,16:45,fermé
34,user789,Besoin d'aide pour un logiciel de design,Support pour logiciel de retouche photo,moyenne,2023-11-12,12:20,en cours de traitement
35,user123,Demande de matériel pour télétravail,Équipement nécessaire pour le télétravail,faible,2023-11-11,08:55,en cours de traitement
